ID	Customer Age (in months)	"Churn (1 = Yes, 0 = No)"	CHI Score Month 0	CHI Score 0-1	Support Cases Month 0	Support Cases 0-1	SP Month 0	SP 0-1	Logins 0-1	Blog Articles 0-1	Views 0-1	 Days Since Last Login 0-1
 38 	 50.0 	 -   	 108.0 	 40.0 	 1.0 	 1.0 	 3.0 	 3.0 	 43.0 	 -   	 16.0 	 -   
 39 	 52.0 	 -   	 168.0 	 (5.0)	 8.0 	 (3.0)	 3.0 	 -   	 62.0 	 2.0 	 589.0 	 (31.0)
 40 	 52.0 	 -   	 186.0 	 (4.0)	 2.0 	 1.0 	 2.5 	 (0.5)	 86.0 	 (3.0)	" 2,139.0 "	 4.0 
 41 	 52.0 	 -   	 75.0 	 -   	 -   	 -   	 -   	 -   	 8.0 	 -   	 -   	 -   
 42 	 51.0 	 -   	 25.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
 43 	 49.0 	 -   	 124.0 	 34.0 	 -   	 -   	 -   	 -   	 10.0 	 -   	 (188.0)	 31.0 
 44 	 43.0 	 -   	 147.0 	 (7.0)	 1.0 	 1.0 	 3.0 	 3.0 	 (25.0)	 (2.0)	 138.0 	 (1.0)
 45 	 51.0 	 -   	 134.0 	 1.0 	 3.0 	 2.0 	 3.0 	 -   	 10.0 	 -   	 -   	 -   
 46 	 51.0 	 -   	 77.0 	 (1.0)	 -   	 -   	 -   	 -   	 (1.0)	 -   	 (81.0)	 (6.0)
 47 	 48.0 	 -   	 57.0 	 (2.0)	 -   	 -   	 -   	 -   	 -   	 -   	" 2,379.0 "	 31.0 
 48 	 50.0 	 -   	 115.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 (300.0)	 31.0 
 49 	 44.0 	 -   	 51.0 	 (1.0)	 1.0 	 (1.0)	 3.0 	 -   	 (12.0)	 -   	 -   	 (133.0)
 50 	 49.0 	 -   	 85.0 	 -   	 -   	 -   	 -   	 -   	 1.0 	 -   	 -   	 (12.0)
 51 	 49.0 	 -   	 1.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
 52 	 45.0 	 -   	 87.0 	 (3.0)	 1.0 	 1.0 	 3.0 	 3.0 	 9.0 	 -   	 -   	 (143.0)
 53 	 49.0 	 -   	 210.0 	 2.0 	 2.0 	 (3.0)	 2.5 	 (0.5)	 181.0 	 (3.0)	 724.0 	 -   
 54 	 47.0 	 1.0 	 122.0 	 2.0 	 3.0 	 (6.0)	 3.0 	 -   	 (31.0)	 -   	 122.0 	 -   
 55 	 48.0 	 -   	 3.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 30.0 
 56 	 49.0 	 -   	 179.0 	 14.0 	 1.0 	 1.0 	 3.0 	 3.0 	 54.0 	 (1.0)	 (124.0)	 (1.0)
 57 	 49.0 	 -   	 -   	 (21.0)	 -   	 -   	 -   	 -   	 (8.0)	 -   	 -   	 4.0 
 58 	 35.0 	 -   	 152.0 	 -   	 -   	 -   	 -   	 -   	 (13.0)	 -   	 82.0 	 -   
 59 	 46.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
 60 	 47.0 	 1.0 	 -   	 (26.0)	 -   	 -   	 -   	 -   	 (7.0)	 -   	 -   	 (53.0)
 61 	 47.0 	 -   	 7.0 	 7.0 	 -   	 -   	 -   	 -   	 4.0 	 -   	 -   	 31.0 
 62 	 48.0 	 -   	 14.0 	 14.0 	 -   	 -   	 -   	 -   	 4.0 	 -   	 (5.0)	 31.0 
 63 	 47.0 	 -   	 53.0 	 (27.0)	 -   	 -   	 -   	 -   	 (4.0)	 -   	 41.0 	 4.0 
 64 	 48.0 	 -   	 39.0 	 (52.0)	 -   	 -   	 -   	 -   	 (1.0)	 -   	 33.0 	 (5.0)
 65 	 48.0 	 -   	 103.0 	 4.0 	 -   	 (3.0)	 -   	 (3.0)	 14.0 	 -   	 (9.0)	 -   
 66 	 13.0 	 1.0 	 122.0 	 31.0 	 6.0 	 4.0 	 3.0 	 -   	 94.0 	 4.0 	 (1.0)	 (9.0)
 67 	 48.0 	 -   	 109.0 	 50.0 	 -   	 (1.0)	 -   	 (2.0)	 2.0 	 1.0 	 (221.0)	 13.0 
 68 	 43.0 	 -   	 -   	 -   	 1.0 	 1.0 	 2.0 	 2.0 	 -   	 -   	 -   	 31.0 
 69 	 46.0 	 -   	 10.0 	 10.0 	 -   	 -   	 -   	 -   	 10.0 	 -   	 -   	 31.0 
 70 	 47.0 	 -   	 145.0 	 10.0 	 -   	 -   	 -   	 -   	 38.0 	 -   	" (5,083.0)"	 -   
 71 	 48.0 	 -   	 108.0 	 33.0 	 -   	 -   	 -   	 -   	 6.0 	 -   	 993.0 	 31.0 
 72 	 45.0 	 -   	 45.0 	 -   	 -   	 -   	 -   	 -   	 7.0 	 -   	 (13.0)	 3.0 
 73 	 47.0 	 -   	 193.0 	 -   	 -   	 -   	 -   	 -   	 47.0 	 1.0 	 83.0 	 (1.0)
 74 	 47.0 	 -   	 101.0 	 39.0 	 -   	 -   	 -   	 -   	 24.0 	 1.0 	 (2.0)	 2.0 
 75 	 47.0 	 -   	 17.0 	 (10.0)	 -   	 -   	 -   	 -   	 (4.0)	 -   	 2.0 	 (10.0)
 76 	 45.0 	 -   	 1.0 	 (70.0)	 -   	 -   	 -   	 -   	 (7.0)	 (1.0)	 -   	 3.0 
 77 	 46.0 	 -   	 158.0 	 2.0 	 -   	 (1.0)	 -   	 (3.0)	 5.0 	 (4.0)	 12.0 	 3.0 
 78 	 38.0 	 -   	 198.0 	 (15.0)	 -   	 -   	 -   	 -   	 21.0 	 -   	 (172.0)	 -   
 79 	 38.0 	 -   	 77.0 	 (2.0)	 -   	 -   	 -   	 -   	 (3.0)	 -   	 716.0 	 (1.0)
 80 	 47.0 	 -   	 82.0 	 -   	 -   	 -   	 -   	 -   	 11.0 	 -   	 -   	 3.0 
 81 	 46.0 	 -   	 94.0 	 10.0 	 1.0 	 1.0 	 3.0 	 3.0 	 42.0 	 -   	 (63.0)	 (24.0)
 82 	 28.0 	 -   	 152.0 	 (4.0)	 -   	 -   	 -   	 -   	 19.0 	 -   	 9.0 	 (2.0)
 83 	 46.0 	 -   	 125.0 	 15.0 	 1.0 	 1.0 	 3.0 	 3.0 	 11.0 	 -   	 (100.0)	 3.0 
 84 	 47.0 	 -   	 35.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 9.0 
 85 	 43.0 	 -   	 166.0 	 (1.0)	 -   	 -   	 -   	 -   	 10.0 	 (1.0)	" 1,304.0 "	 (1.0)
 86 	 46.0 	 -   	 61.0 	 (11.0)	 1.0 	 1.0 	 3.0 	 3.0 	 10.0 	 -   	 (35.0)	 15.0 
 87 	 42.0 	 -   	 97.0 	 2.0 	 -   	 (1.0)	 -   	 (3.0)	 (28.0)	 -   	 -   	 -   
 88 	 46.0 	 -   	 74.0 	 -   	 -   	 -   	 -   	 -   	 1.0 	 -   	 -   	 (3.0)
 89 	 46.0 	 -   	 4.0 	 4.0 	 1.0 	 1.0 	 2.0 	 2.0 	 10.0 	 -   	 -   	 31.0 
 90 	 46.0 	 -   	 145.0 	 -   	 -   	 -   	 -   	 -   	 98.0 	 -   	 629.0 	 -   
 91 	 45.0 	 -   	 75.0 	 (17.0)	 -   	 -   	 -   	 -   	 (1.0)	 (1.0)	 -   	 (3.0)
 92 	 46.0 	 -   	 79.0 	 13.0 	 -   	 -   	 -   	 -   	 (4.0)	 -   	 4.0 	 (22.0)
 93 	 46.0 	 -   	 175.0 	 10.0 	 -   	 -   	 -   	 -   	 22.0 	 -   	" (1,419.0)"	 -   
 94 	 44.0 	 1.0 	 -   	 (12.0)	 -   	 -   	 -   	 -   	 (1.0)	 -   	 -   	 (90.0)
 95 	 46.0 	 -   	 6.0 	 6.0 	 -   	 -   	 -   	 -   	 10.0 	 -   	 -   	 31.0 
 96 	 46.0 	 -   	 85.0 	 (36.0)	 -   	 -   	 -   	 -   	 2.0 	 (1.0)	 (37.0)	 (4.0)
 97 	 45.0 	 -   	 59.0 	 41.0 	 -   	 -   	 -   	 -   	 -   	 -   	 (57.0)	 31.0 
 98 	 46.0 	 -   	 109.0 	 (13.0)	 -   	 -   	 -   	 -   	 1.0 	 (2.0)	 158.0 	 (9.0)
 99 	 44.0 	 -   	 87.0 	 45.0 	 -   	 -   	 -   	 -   	 10.0 	 1.0 	 (4.0)	 30.0 
 100 	 45.0 	 -   	 161.0 	 (10.0)	 -   	 -   	 -   	 -   	 (10.0)	 (4.0)	 71.0 	 -   
 101 	 41.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 5.0 	 31.0 
 102 	 45.0 	 -   	 169.0 	 (8.0)	 9.0 	 (5.0)	 3.0 	 -   	 54.0 	 -   	 345.0 	 -   
 103 	 44.0 	 -   	 88.0 	 22.0 	 -   	 (1.0)	 -   	 (3.0)	 30.0 	 -   	 (5.0)	 2.0 
 104 	 28.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
 105 	 42.0 	 1.0 	 26.0 	 (13.0)	 -   	 -   	 -   	 -   	 -   	 -   	 16.0 	 (5.0)
 106 	 38.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 30.0 
 107 	 45.0 	 -   	 155.0 	 (6.0)	 -   	 -   	 -   	 -   	 (1.0)	 (4.0)	 127.0 	 -   
 108 	 45.0 	 -   	 71.0 	 (11.0)	 -   	 -   	 -   	 -   	 (15.0)	 (1.0)	 -   	 -   
 109 	 40.0 	 -   	 -   	 (125.0)	 -   	 -   	 -   	 -   	 (8.0)	 -   	 (216.0)	 6.0 
 110 	 44.0 	 -   	 -   	 (6.0)	 -   	 -   	 -   	 -   	 (10.0)	 -   	 -   	 (72.0)
 111 	 29.0 	 -   	 103.0 	 (8.0)	 -   	 -   	 -   	 -   	 3.0 	 3.0 	 15.0 	 (70.0)
 112 	 45.0 	 -   	 39.0 	 23.0 	 -   	 -   	 -   	 -   	 2.0 	 -   	 -   	 31.0 
 113 	 43.0 	 -   	 42.0 	 10.0 	 -   	 -   	 -   	 -   	 6.0 	 -   	 (6.0)	 30.0 
 114 	 45.0 	 -   	 73.0 	 (6.0)	 -   	 -   	 -   	 -   	 6.0 	 -   	 (1.0)	 (24.0)
 115 	 45.0 	 -   	 58.0 	 38.0 	 -   	 -   	 -   	 -   	 6.0 	 -   	 (20.0)	 5.0 
 116 	 45.0 	 -   	 68.0 	 (7.0)	 1.0 	 1.0 	 -   	 -   	 22.0 	 -   	 (7.0)	 31.0 
 117 	 45.0 	 -   	 89.0 	 (5.0)	 -   	 (2.0)	 -   	 (3.0)	 (61.0)	 -   	" 1,013.0 "	 -   
 118 	 45.0 	 -   	 138.0 	 4.0 	 -   	 -   	 -   	 -   	 (8.0)	 -   	 534.0 	 (29.0)
 119 	 42.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
 120 	 45.0 	 -   	 90.0 	 -   	 -   	 -   	 -   	 -   	 7.0 	 -   	 (73.0)	 -   
 121 	 45.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
 122 	 43.0 	 -   	 48.0 	 (11.0)	 -   	 -   	 -   	 -   	 (3.0)	 -   	 -   	 3.0 
 123 	 44.0 	 -   	 10.0 	 (25.0)	 -   	 (1.0)	 -   	 (2.0)	 (4.0)	 -   	 (5.0)	 18.0 
 124 	 44.0 	 -   	 106.0 	 -   	 -   	 -   	 -   	 -   	 7.0 	 -   	 30.0 	 4.0 
 125 	 44.0 	 -   	 128.0 	 35.0 	 -   	 (3.0)	 -   	 (3.0)	 (7.0)	 1.0 	 -   	 (15.0)
 126 	 45.0 	 -   	 90.0 	 (5.0)	 -   	 -   	 -   	 -   	 21.0 	 -   	 (39.0)	 2.0 
 127 	 45.0 	 -   	 47.0 	 (21.0)	 -   	 -   	 -   	 -   	 (12.0)	 -   	 -   	 3.0 
 128 	 41.0 	 -   	 31.0 	 (26.0)	 -   	 -   	 -   	 -   	 -   	 -   	 (32.0)	 31.0 
 129 	 45.0 	 -   	 191.0 	 (1.0)	 -   	 -   	 -   	 -   	 12.0 	 (1.0)	 (28.0)	 -   
 130 	 45.0 	 -   	 45.0 	 10.0 	 -   	 -   	 -   	 -   	 9.0 	 -   	 -   	 2.0 
 131 	 45.0 	 -   	 121.0 	 90.0 	 1.0 	 1.0 	 3.0 	 3.0 	 184.0 	 4.0 	 17.0 	 (7.0)
 132 	 44.0 	 -   	 76.0 	 32.0 	 -   	 -   	 -   	 -   	 18.0 	 -   	 2.0 	 31.0 
 133 	 44.0 	 -   	 50.0 	 25.0 	 -   	 -   	 -   	 -   	 4.0 	 -   	 100.0 	 (187.0)
 134 	 43.0 	 -   	 101.0 	 84.0 	 -   	 -   	 -   	 -   	 6.0 	 1.0 	 38.0 	 30.0 
 135 	 44.0 	 -   	 74.0 	 (38.0)	 -   	 -   	 -   	 -   	 -   	 (2.0)	 243.0 	 -   
 136 	 44.0 	 -   	 105.0 	 (5.0)	 -   	 -   	 -   	 -   	 1.0 	 -   	 669.0 	 18.0 
 137 	 44.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
 138 	 41.0 	 -   	 60.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 30.0 
 139 	 44.0 	 -   	 55.0 	 (73.0)	 2.0 	 (1.0)	 3.0 	 -   	 (39.0)	 (3.0)	 (45.0)	 (1.0)
 140 	 43.0 	 -   	 91.0 	 (50.0)	 -   	 (3.0)	 -   	 (3.0)	 (18.0)	 (2.0)	" 2,034.0 "	 (4.0)
 141 	 45.0 	 -   	 19.0 	 (1.0)	 -   	 -   	 -   	 -   	 11.0 	 -   	 -   	 (3.0)
 142 	 43.0 	 -   	 15.0 	 (27.0)	 -   	 -   	 -   	 -   	 (2.0)	 -   	 -   	 11.0 
 143 	 44.0 	 -   	 59.0 	 -   	 -   	 -   	 -   	 -   	 14.0 	 1.0 	 -   	 -   
 144 	 43.0 	 -   	 70.0 	 (6.0)	 -   	 -   	 -   	 -   	 (4.0)	 (3.0)	 -   	 1.0 
 145 	 44.0 	 -   	 180.0 	 2.0 	 -   	 -   	 -   	 -   	 36.0 	 5.0 	" (1,698.0)"	 -   
 146 	 42.0 	 -   	 -   	 (2.0)	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 30.0 
 147 	 43.0 	 -   	 38.0 	 (11.0)	 -   	 -   	 -   	 -   	 -   	 -   	 6.0 	 -   
 148 	 42.0 	 -   	 116.0 	 (1.0)	 -   	 -   	 -   	 -   	 12.0 	 -   	 (61.0)	 31.0 
 149 	 44.0 	 -   	 95.0 	 (15.0)	 -   	 -   	 -   	 -   	 (11.0)	 -   	 6.0 	 10.0 
 150 	 44.0 	 -   	 181.0 	 (2.0)	 -   	 -   	 -   	 -   	 20.0 	 (1.0)	" 1,544.0 "	 -   
 151 	 43.0 	 -   	 90.0 	 10.0 	 -   	 -   	 -   	 -   	 16.0 	 -   	 -   	 -   
 152 	 40.0 	 -   	 120.0 	 2.0 	 1.0 	 1.0 	 2.0 	 2.0 	 35.0 	 -   	 35.0 	 3.0 
 153 	 38.0 	 1.0 	 116.0 	 1.0 	 1.0 	 -   	 3.0 	 -   	 41.0 	 1.0 	 -   	 (26.0)
 154 	 43.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 (3.0)	 31.0 
 155 	 43.0 	 -   	 193.0 	 15.0 	 3.0 	 1.0 	 3.0 	 0.5 	 9.0 	 1.0 	" (7,657.0)"	 -   
 156 	 41.0 	 1.0 	 8.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
 157 	 43.0 	 -   	 105.0 	 -   	 -   	 -   	 -   	 -   	 (4.0)	 -   	 -   	 (2.0)
 158 	 42.0 	 -   	 33.0 	 (12.0)	 -   	 -   	 -   	 -   	 2.0 	 -   	 1.0 	 5.0 
 159 	 43.0 	 -   	 93.0 	 (20.0)	 -   	 -   	 -   	 -   	 (4.0)	 -   	" (3,745.0)"	 (4.0)
 160 	 42.0 	 -   	 80.0 	 8.0 	 -   	 -   	 -   	 -   	 -   	 -   	 (16.0)	 21.0 
 161 	 42.0 	 -   	 81.0 	 -   	 -   	 -   	 -   	 -   	 (2.0)	 -   	 2.0 	 (3.0)
 162 	 43.0 	 -   	 172.0 	 37.0 	 -   	 -   	 -   	 -   	 11.0 	 2.0 	" 3,460.0 "	 2.0 
 163 	 42.0 	 -   	 36.0 	 (4.0)	 -   	 -   	 -   	 -   	 (1.0)	 -   	 (3.0)	 27.0 
 164 	 43.0 	 -   	 188.0 	 -   	 -   	 (1.0)	 -   	 (3.0)	 5.0 	 -   	" 1,708.0 "	 -   
 165 	 1.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
 166 	 43.0 	 -   	 51.0 	 (35.0)	 -   	 -   	 -   	 -   	 (5.0)	 -   	 -   	 (89.0)
 167 	 43.0 	 -   	 83.0 	 (61.0)	 -   	 -   	 -   	 -   	 8.0 	 -   	 (3.0)	 (2.0)
 168 	 42.0 	 -   	 88.0 	 (7.0)	 -   	 -   	 -   	 -   	 (10.0)	 -   	" (2,611.0)"	 1.0 
 169 	 42.0 	 -   	 40.0 	 -   	 -   	 -   	 -   	 -   	 1.0 	 -   	 (3.0)	 (23.0)
 170 	 43.0 	 -   	 68.0 	 (1.0)	 -   	 -   	 -   	 -   	 3.0 	 -   	 -   	 (67.0)
 171 	 42.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
 172 	 43.0 	 -   	 136.0 	 9.0 	 -   	 -   	 -   	 -   	 21.0 	 -   	 (200.0)	 (5.0)
 173 	 43.0 	 -   	 171.0 	 47.0 	 3.0 	 3.0 	 3.0 	 3.0 	 85.0 	 -   	 3.0 	 -   
 174 	 42.0 	 -   	 63.0 	 20.0 	 -   	 -   	 -   	 -   	 4.0 	 -   	 -   	 31.0 
 175 	 43.0 	 -   	 63.0 	 24.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
 176 	 43.0 	 -   	 122.0 	 (44.0)	 -   	 (1.0)	 -   	 (3.0)	 (3.0)	 (3.0)	 705.0 	 (4.0)
 177 	 42.0 	 -   	 60.0 	 -   	 1.0 	 1.0 	 3.0 	 3.0 	 30.0 	 -   	 -   	 -   
 178 	 42.0 	 -   	 76.0 	 (8.0)	 -   	 -   	 -   	 -   	 12.0 	 -   	" 1,580.0 "	 31.0 
 179 	 42.0 	 -   	 44.0 	 (11.0)	 -   	 -   	 -   	 -   	 (3.0)	 -   	 -   	 (1.0)
 180 	 42.0 	 -   	 114.0 	 18.0 	 1.0 	 -   	 3.0 	 -   	 33.0 	 6.0 	 -   	 4.0 
 181 	 42.0 	 -   	 69.0 	 69.0 	 -   	 -   	 -   	 -   	 6.0 	 -   	 -   	 31.0 
 182 	 42.0 	 -   	 85.0 	 -   	 -   	 -   	 -   	 -   	 25.0 	 -   	 -   	 (3.0)
 183 	 42.0 	 -   	 -   	 (17.0)	 -   	 -   	 -   	 -   	 (1.0)	 -   	 -   	 25.0 
 184 	 42.0 	 -   	 131.0 	 (2.0)	 -   	 -   	 -   	 -   	 2.0 	 -   	 489.0 	 31.0 
 185 	 41.0 	 -   	 60.0 	 29.0 	 -   	 -   	 -   	 -   	 4.0 	 -   	 (285.0)	 10.0 
 186 	 42.0 	 -   	 189.0 	 2.0 	 2.0 	 2.0 	 3.0 	 3.0 	 32.0 	 2.0 	 (145.0)	 -   
 187 	 42.0 	 -   	 178.0 	 (1.0)	 1.0 	 -   	 3.0 	 -   	 21.0 	 (1.0)	 104.0 	 -   
 188 	 42.0 	 -   	 105.0 	 5.0 	 -   	 -   	 -   	 -   	 (9.0)	 -   	 -   	 -   
 189 	 42.0 	 -   	 148.0 	 (14.0)	 1.0 	 -   	 2.0 	 (1.0)	 28.0 	 2.0 	 723.0 	 -   
 190 	 42.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 1.0 	 31.0 
 191 	 41.0 	 -   	 104.0 	 (10.0)	 -   	 -   	 -   	 -   	 6.0 	 -   	 2.0 	 -   
 192 	 42.0 	 -   	 44.0 	 (25.0)	 -   	 -   	 -   	 -   	 (2.0)	 -   	 -   	 (95.0)
 193 	 42.0 	 -   	 118.0 	 79.0 	 -   	 -   	 -   	 -   	 11.0 	 -   	 -   	 18.0 
 194 	 42.0 	 -   	 16.0 	 10.0 	 2.0 	 2.0 	 3.0 	 3.0 	 19.0 	 -   	 -   	 (92.0)
 195 	 42.0 	 -   	 183.0 	 31.0 	 5.0 	 3.0 	 3.0 	 -   	 82.0 	 (4.0)	 124.0 	 -   
 196 	 42.0 	 -   	 120.0 	 (10.0)	 -   	 -   	 -   	 -   	 5.0 	 -   	 (166.0)	 -   
 197 	 40.0 	 -   	 107.0 	 (7.0)	 1.0 	 1.0 	 3.0 	 3.0 	 (33.0)	 (4.0)	 (22.0)	 (3.0)
 198 	 40.0 	 -   	 165.0 	 30.0 	 2.0 	 2.0 	 3.0 	 3.0 	 52.0 	 -   	 (28.0)	 1.0 
 199 	 41.0 	 -   	 130.0 	 18.0 	 -   	 -   	 -   	 -   	 13.0 	 (2.0)	 (380.0)	 -   
 200 	 40.0 	 1.0 	 130.0 	 -   	 1.0 	 1.0 	 3.0 	 3.0 	 (7.0)	 -   	 (87.0)	 4.0 
 201 	 41.0 	 -   	 145.0 	 18.0 	 4.0 	 3.0 	 3.0 	 -   	 15.0 	 -   	 33.0 	 (3.0)
 202 	 40.0 	 -   	 115.0 	 10.0 	 -   	 -   	 -   	 -   	 16.0 	 1.0 	 5.0 	 (3.0)
 203 	 39.0 	 -   	 15.0 	 (4.0)	 -   	 -   	 -   	 -   	 -   	 -   	 (14.0)	 31.0 
 204 	 36.0 	 1.0 	 105.0 	 (1.0)	 -   	 -   	 -   	 -   	 26.0 	 -   	 (61.0)	 (1.0)
 205 	 40.0 	 -   	 73.0 	 50.0 	 -   	 -   	 -   	 -   	 10.0 	 -   	" 1,300.0 "	 31.0 
 206 	 13.0 	 -   	 121.0 	 (15.0)	 -   	 -   	 -   	 -   	 1.0 	 (1.0)	 266.0 	 -   
 207 	 13.0 	 -   	 3.0 	 -   	 2.0 	 1.0 	 3.0 	 3.0 	 19.0 	 -   	 -   	 (16.0)
